REPORTE DE INSPECCIÓN: EXERCISE 1 -DOOR PANELS
==================================================
Total Detectados: 86

53. ID: GRP1-37 | Fam: GRP1 | R=0.50 | Pos: (1514.73, -753.21, 1435.37)
54. ID: GRP1-41 | Fam: GRP1 | R=0.50 | Pos: (1535.79, -748.24, 1456.64)
55. ID: GRP1-54 | Fam: GRP1 | R=0.50 | Pos: (1580.43, -782.27, 1506.68)
56. ID: GRP2-35 | Fam: GRP2 | R=3.00 | Pos: (1502.06, -746.76, 1527.11)
57. ID: GRP3-1 | Fam: GRP3 | R=1.00 | Pos: (1779.15, -727.66, 1250.59)
58. ID: GRP3-2 | Fam: GRP3 | R=1.00 | Pos: (1830.56, -736.36, 1163.55)
59. ID: GRP3-3 | Fam: GRP3 | R=1.00 | Pos: (1519.83, -742.86, 1123.77)
60. ID: GRP3-4 | Fam: GRP3 | R=1.00 | Pos: (1721.51, -744.36, 1039.24)
61. ID: GRP3-5 | Fam: GRP3 | R=1.00 | Pos: (1684.27, -722.93, 1242.99)
62. ID: GRP3-6 | Fam: GRP3 | R=1.00 | Pos: (1572.54, -773.32, 1507.19)
63. ID: GRP3-7 | Fam: GRP3 | R=1.00 | Pos: (1517.46, -754.46, 1439.82)
64. ID: GRP3-8 | Fam: GRP3 | R=1.00 | Pos: (1811.08, -765.51, 1515.73)
65. ID: GRP3-9 | Fam: GRP3 | R=1.00 | Pos: (1672.56, -781.05, 1489.28)
66. ID: GRP3-10 | Fam: GRP3 | R=1.00 | Pos: (1601.56, -782.29, 1497.55)
67. ID: GRP3-11 | Fam: GRP3 | R=1.00 | Pos: (1652.44, -783.61, 1504.88)
68. ID: GRP3-12 | Fam: GRP3 | R=1.00 | Pos: (1826.04, -765.95, 1519.16)
69. ID: GRP4-1 | Fam: GRP4 | R=2.83 | Pos: (1253.83, -736.35, 1215.14)
70. ID: GRP4-2 | Fam: GRP4 | R=2.83 | Pos: (1297.51, -738.66, 1268.75)
71. ID: GRP4-3 | Fam: GRP4 | R=2.83 | Pos: (1386.04, -737.18, 1265.82)
72. ID: GRP4-4 | Fam: GRP4 | R=2.83 | Pos: (1600.61, -787.55, 1271.42)
73. ID: GRP5-1 | Fam: GRP5 | R=5.00 | Pos: (1515.77, -726.19, 1127.50)
74. ID: GRP5-2 | Fam: GRP5 | R=5.00 | Pos: (1830.68, -720.11, 1158.01)
75. ID: GRP5-3 | Fam: GRP5 | R=5.00 | Pos: (1575.35, -781.61, 1502.33)
76. ID: GRP6-1 | Fam: GRP6 | R=0.25 | Pos: (1272.97, -739.35, 1267.67)
77. ID: LEGACY-0 | Fam: ? | R=3.31 | Pos: (1780.80, -711.99, 1245.68)
78. ID: LEGACY-1 | Fam: ? | R=2.75 | Pos: (1515.62, -727.50, 1126.65)
79. ID: LEGACY-2 | Fam: ? | R=2.64 | Pos: (1831.08, -720.67, 1159.52)
80. ID: LEGACY-3 | Fam: ? | R=3.31 | Pos: (1724.84, -729.25, 1043.23)
81. ID: LEGACY-4 | Fam: ? | R=3.25 | Pos: (1682.89, -712.99, 1238.28)
82. ID: LEGACY-5 | Fam: ? | R=1.16 | Pos: (1516.48, -757.56, 1439.49)
83. ID: LEGACY-6 | Fam: ? | R=0.25 | Pos: (1618.27, -785.56, 1458.44)
84. ID: LEGACY-7 | Fam: ? | R=0.25 | Pos: (1633.00, -762.28, 1529.79)
85. ID: LEGACY-8 | Fam: ? | R=0.99 | Pos: (1807.66, -772.32, 1509.02)
86. ID: LEGACY-9 | Fam: ? | R=1.46 | Pos: (1582.30, -777.31, 1495.76)
