REPORTE HEAT STAKES
==============================
Total Detectados: 86

40. MERGED-GRP1+GRP2-688 (MERGED) | Pos: (np.float64(1468.3396270187745), np.float64(-746.2291105973552), np.float64(1473.8946867793686)) | R=1.00
41. MERGED-GRP1+GRP2-136 (MERGED) | Pos: (np.float64(1452.3599185723021), np.float64(-742.7388729632971), np.float64(1533.5931770887555)) | R=0.92
42. MERGED-GRP1+GRP2-520 (MERGED) | Pos: (np.float64(1495.9040467146099), np.float64(-746.2264596258347), np.float64(1536.8053809366265)) | R=0.78
43. MERGED-GRP1+GRP2-840 (MERGED) | Pos: (np.float64(1718.5315837694586), np.float64(-761.3821629224194), np.float64(1517.7450536575511)) | R=1.00
44. MERGED-GRP1+GRP2-352 (MERGED) | Pos: (np.float64(1756.933937037218), np.float64(-764.8145033081487), np.float64(1471.0210915333985)) | R=0.92
45. MERGED-GRP1+GRP2-736 (MERGED) | Pos: (np.float64(1587.1914603918087), np.float64(-778.7091216654488), np.float64(1480.3955932684403)) | R=0.71
46. MERGED-GRP1+GRP2-56 (MERGED) | Pos: (np.float64(1676.4991996685997), np.float64(-783.9180673376703), np.float64(1497.2326056333789)) | R=1.33
47. MERGED-GRP1+GRP2-504 (MERGED) | Pos: (np.float64(1701.4337214227337), np.float64(-720.8978869270996), np.float64(1752.3204737993292)) | R=0.92
48. GRP1-5 (GRP1) | Pos: (np.float64(1252.9298813007772), np.float64(-742.5895784916552), np.float64(1215.1347823701535)) | R=0.50
49. GRP1-6 (GRP1) | Pos: (np.float64(1297.4679533030464), np.float64(-744.7177434916542), np.float64(1269.6463019371886)) | R=0.50
50. GRP1-7 (GRP1) | Pos: (np.float64(1386.168895529645), np.float64(-743.2957077395188), np.float64(1266.0774532563723)) | R=0.50
51. GRP1-25 (GRP1) | Pos: (np.float64(1291.643814712206), np.float64(-738.517748558023), np.float64(1047.1122102917627)) | R=0.50
52. GRP1-26 (GRP1) | Pos: (np.float64(1266.6255314079085), np.float64(-735.1353642221438), np.float64(1087.591042712942)) | R=0.50
53. GRP1-37 (GRP1) | Pos: (np.float64(1514.7197224210395), np.float64(-753.2078018667304), np.float64(1435.372311996263)) | R=0.50
54. GRP1-41 (GRP1) | Pos: (np.float64(1535.7940934283017), np.float64(-748.2388033982278), np.float64(1456.6444696065523)) | R=0.50
55. GRP1-54 (GRP1) | Pos: (np.float64(1580.4306498501828), np.float64(-782.277688545802), np.float64(1506.681844336646)) | R=0.50
56. GRP2-35 (GRP2) | Pos: (np.float64(1502.0608930958658), np.float64(-746.7640034554984), np.float64(1527.1064061142974)) | R=3.00
57. GRP3-1 (GRP3) | Pos: (np.float64(1779.14554544896), np.float64(-727.6563200433319), np.float64(1250.59361114054)) | R=1.00
58. GRP3-2 (GRP3) | Pos: (np.float64(1830.558412318875), np.float64(-736.3563214399991), np.float64(1163.5532279526942)) | R=1.00
59. GRP3-3 (GRP3) | Pos: (np.float64(1519.8309703987914), np.float64(-742.8563214400002), np.float64(1123.766291500109)) | R=1.00
60. GRP3-4 (GRP3) | Pos: (np.float64(1721.50855701281), np.float64(-744.3563214399958), np.float64(1039.2423955346815)) | R=1.00
61. GRP3-5 (GRP3) | Pos: (np.float64(1684.2672198199107), np.float64(-722.9263214399983), np.float64(1242.986637717509)) | R=1.00
62. GRP3-6 (GRP3) | Pos: (np.float64(1572.5420704188919), np.float64(-773.3218901030865), np.float64(1507.1954947879306)) | R=1.00
63. GRP3-7 (GRP3) | Pos: (np.float64(1517.4572998544088), np.float64(-754.4570237113606), np.float64(1439.816806634534)) | R=1.00
64. GRP3-8 (GRP3) | Pos: (np.float64(1811.0757592653144), np.float64(-765.5130057000551), np.float64(1515.7260146231915)) | R=1.00
65. GRP3-9 (GRP3) | Pos: (np.float64(1672.5597491614706), np.float64(-781.0546351741222), np.float64(1489.272730842443)) | R=1.00
66. GRP3-10 (GRP3) | Pos: (np.float64(1601.5566620614075), np.float64(-782.2929111599103), np.float64(1497.5516163507762)) | R=1.00
67. GRP3-11 (GRP3) | Pos: (np.float64(1652.4408457148375), np.float64(-783.6500857992212), np.float64(1504.886866773725)) | R=1.00
68. GRP3-12 (GRP3) | Pos: (np.float64(1826.0451378092052), np.float64(-765.9477331046065), np.float64(1519.1830287822934)) | R=1.00
69. GRP4-1 (GRP4) | Pos: (np.float64(1253.8256075438119), np.float64(-736.3548165478745), np.float64(1215.1373984099414)) | R=2.83
70. GRP4-2 (GRP4) | Pos: (np.float64(1297.5128977954785), np.float64(-738.6425061899719), np.float64(1268.7469512366486)) | R=2.83
71. GRP4-3 (GRP4) | Pos: (np.float64(1386.0362101795356), np.float64(-737.1798233294186), np.float64(1265.8161320182314)) | R=2.83
72. GRP4-4 (GRP4) | Pos: (np.float64(1600.6118767643695), np.float64(-787.5492382548458), np.float64(1271.4246744708091)) | R=2.83
73. GRP5-1 (GRP5) | Pos: (np.float64(1515.770904556738), np.float64(-726.1944124010763), np.float64(1127.5043723028987)) | R=5.00
74. GRP5-2 (GRP5) | Pos: (np.float64(1830.68152965252), np.float64(-720.1133217519846), np.float64(1158.0100725176128)) | R=5.00
75. GRP5-3 (GRP5) | Pos: (np.float64(1575.3501246278431), np.float64(-781.612911818686), np.float64(1502.3163224181362)) | R=5.00
76. GRP6-1 (GRP6) | Pos: (np.float64(1272.967452416597), np.float64(-739.3491807534062), np.float64(1267.668163757915)) | R=0.25
77. LEGACY-0 (?) | Pos: (np.float64(1780.803679991012), np.float64(-711.9889264735475), np.float64(1245.683309948467)) | R=3.31
78. LEGACY-1 (?) | Pos: (np.float64(1515.622510223461), np.float64(-727.4959949285873), np.float64(1126.6537706653946)) | R=2.75
79. LEGACY-2 (?) | Pos: (np.float64(1831.0805792192295), np.float64(-720.6614765661009), np.float64(1159.5214205320462)) | R=2.64
80. LEGACY-3 (?) | Pos: (np.float64(1724.8404575287268), np.float64(-729.2431581807208), np.float64(1043.2283890772098)) | R=3.31
81. LEGACY-4 (?) | Pos: (np.float64(1682.8775323415236), np.float64(-712.9903008684455), np.float64(1238.2942244270794)) | R=3.25
82. LEGACY-5 (?) | Pos: (np.float64(1516.4798448442928), np.float64(-757.560434653385), np.float64(1439.485885326819)) | R=1.16
83. LEGACY-6 (?) | Pos: (np.float64(1618.2671469102345), np.float64(-785.5610282370408), np.float64(1458.4370085208175)) | R=0.25
84. LEGACY-7 (?) | Pos: (np.float64(1632.9982199940089), np.float64(-762.2839722604917), np.float64(1529.7857154844628)) | R=0.25
85. LEGACY-8 (?) | Pos: (np.float64(1807.664669739119), np.float64(-772.3226529134374), np.float64(1509.0166326080287)) | R=0.99
86. LEGACY-9 (?) | Pos: (np.float64(1582.3080239609824), np.float64(-777.3082904777158), np.float64(1495.7558991529797)) | R=1.46
