ID,X,Y,Z,Radio (mm),Altura (mm),Aletas_Detectadas,Es_HeatStake_Potencial,Distancia_Origen
123,1964.1087816295,-721.537130933634,1370.67140570179,0.5,0.808,4,True,2501.415447261526
253,1992.82842310675,-718.300000000002,1328.93890949432,0.5,0.808,4,True,2500.6796354411513
6,1941.44379952615,-719.979970205562,1400.08990414863,0.5,26.4378,1,False,2499.565346998285
122,1967.28606530066,-721.537130933634,1362.39429875461,0.5,0.808,4,True,2499.3896293537664
254,1997.46963540761,-718.300000000002,1316.17641722951,0.5,0.808,4,True,2497.6309166180904
483,1825.43978065497,-765.292276993312,1519.35500585818,1.0,1.1597,3,True,2495.2639731799086
506,1818.43990995772,-773.796276930512,1519.08909538521,0.25,0.8481,2,False,2492.6122971767627
507,1818.14559117581,-773.796276930512,1519.1668577125,0.25,0.738,2,False,2492.444986449175
352,1817.95248770208,-773.796276930512,1519.29188946236,0.25,1.5638,2,False,2492.380342387536
357,1817.77266734101,-773.796276930512,1519.36199849151,0.25,1.3141,2,False,2492.291923267354
354,1817.772667341,-773.796276930512,1519.3619984915,0.25,1.5638,2,False,2492.2919232673407
356,1817.78322953309,-773.796276930512,1518.85776470786,0.25,1.3136,2,False,2491.9922666767307
355,1817.78322953308,-773.796276930512,1518.85776470786,0.25,1.5638,2,False,2491.9922666767234
353,1817.60340917201,-773.796276930512,1518.927873737,0.25,1.5638,2,False,2491.903833786617
351,1812.44222429782,-766.268797960039,1521.16048452963,1.0,2.5002,2,False,2487.1758898073876
484,1818.27842115003,-771.296276930511,1508.30054889236,0.25,1.8145,2,False,2485.156918469276
485,1817.73056259717,-771.296276930511,1508.28907289163,0.25,1.8145,2,False,2484.7491367160155
350,1810.44332076152,-766.403166956893,1516.35295800197,1.0,2.5002,2,False,2482.8220083712968
489,1807.44112067652,-771.296276930511,1508.07258319742,0.25,1.8145,2,False,2477.099971279117
494,1807.44112067652,-771.296276930511,1508.07258319742,0.25,1.8145,2,False,2477.099971279117
496,1807.16239126581,-771.296276930511,1508.34174906056,0.25,1.8145,2,False,2477.060493240223
491,1807.16239126581,-771.296276930511,1508.34174906056,0.25,1.8145,2,False,2477.060493240223
508,1807.19077768942,-771.296276930511,1508.09224475407,0.25,1.5553,2,False,2476.9292828944326
487,1807.37628474656,-771.296276930511,1507.86727050642,0.25,6.9102,2,False,2476.9276709132278
492,1807.36426449603,-771.296276930511,1507.87747241655,0.25,1.8145,2,False,2476.9251105363414
486,1806.98077549076,-771.296276930511,1508.24655024635,0.25,6.9044,2,False,2476.8700260873743
493,1806.97008158317,-771.296276930511,1508.25813043072,0.25,1.8145,2,False,2476.8692760325334
497,1807.17195481339,-771.296276930511,1507.79385378671,0.25,1.8145,2,False,2476.733882876377
490,1807.17195481339,-771.296276930511,1507.79385378671,0.25,1.8145,2,False,2476.733882876377
495,1806.89322540268,-771.296276930511,1508.06301964984,0.25,1.8145,2,False,2476.6943990020977
488,1806.89322540268,-771.296276930511,1508.06301964984,0.25,1.8145,2,False,2476.6943990020977
509,1806.97684403252,-771.296276930511,1507.87070996721,0.25,1.5604,2,False,2476.638314258586
258,2007.2901430728,-719.786191602888,1257.75782084377,0.5,0.808,4,True,2475.7343589313214
276,1912.05088820677,-715.979970205562,1396.74240410213,0.5,24.72,1,False,2473.7532739230187
277,1909.92436363645,-719.367874166987,1394.98185307644,3.5,25.1078,0,False,2472.0994283418713
5,1910.3251755824,-715.979970205562,1394.18721909106,3.5,25.6259,1,False,2470.9770529238726
259,1996.03371871115,-719.786191602888,1265.35485783338,0.5,0.808,4,True,2470.4990759149428
4,1908.09607730735,-719.301283331444,1394.18721909106,0.5,25.8824,0,False,2470.2192166515956
256,1996.43371871115,-732.786191602888,1253.80976984831,3.0,24.7057,12,True,2468.757204501441
257,1996.43371871115,-732.786191602888,1253.80976984831,2.0,24.6275,2,False,2468.757204501441
